Search fusion time : 0 ms
generate_matrices time :59 ms
Search save matrix time :781 ms
Search save matrix time :23 ms
Search save matrix time :11 ms
Search save matrix time :9 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
generate_matrices time :56 ms
Search save matrix time :27 ms
Search save matrix time :12 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
Search save matrix time :17 ms
Search save matrix time :10 ms
Search save matrix time :40 ms
Search save matrix time :20 ms
Search save matrix time :32 ms
Search save matrix time :10 ms
Search save matrix time :10 ms
generate_matrices time :41 ms
Search save matrix time :20 ms
Search save matrix time :11 ms
Search save matrix time :13 ms
Search save matrix time :13 ms
Search save matrix time :18 ms
Search save matrix time :15 ms
Search save matrix time :10 ms
generate_matrices time :39 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :15 ms
Search save matrix time :27 ms
Search save matrix time :28 ms
Search save time : 14 ms
Search save time : 27 ms
Search save time : 40 ms
Search save time : 35 ms
Search save time : 22 ms
Search save time : 17 ms
Search save time : 14 ms
Search save time : 11 ms
Search save time : 16 ms
Search save time : 39 ms
Search save time : 12 ms
Search save time : 22 ms
Search save time : 14 ms
Search save time : 31 ms
Search save time : 18 ms
Search save time : 29 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 18 ms
Search save time : 14 ms
Search save time : 11 ms
Search save time : 17 ms
Search save time : 10 ms
Search save time : 14 ms
Search save time : 11 ms
Search save time : 25 ms
Search save time : 11 ms
Search save time : 11 ms
generate_matrices time :33 ms
Search save matrix time :33 ms
Search save matrix time :19 ms
Search save matrix time :40 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 9 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 15 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 19 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 40 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 16 ms
Search save time : 14 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 20 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 12 ms
Search save time : 9 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 13 ms
Search save time : 12 ms
Search save time : 12 ms
Search save time : 13 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 13 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 12 ms
Search save time : 11 ms
Search save time : 21 ms
generate_matrices time :35 ms
Search save matrix time :15 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
Search save matrix time :31 ms
Search save time : 21 ms
generate_matrices time :34 ms
Search save matrix time :11 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save time : 13 ms
Search save time : 10 ms
Search save time : 21 ms
Search save time : 46 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 40 ms
Search save time : 14 ms
Search save time : 12 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 17 ms
Search save time : 12 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 12 ms
generate_matrices time :39 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :22 ms
Search save matrix time :23 ms
Search save matrix time :26 ms
Search save matrix time :34 ms
Search save matrix time :9 ms
Search save time : 15 ms
Search save time : 10 ms
Search save time : 19 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 25 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 23 ms
Search save time : 10 ms
Search save time : 9 ms
Search save time : 10 ms
Search save time : 16 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 32 ms
Search save time : 27 ms
Search save time : 19 ms
Search save time : 30 ms
Search save time : 45 ms
Search save time : 15 ms
Search save time : 12 ms
Search save time : 12 ms
Search save time : 34 ms
Search save time : 11 ms
Search save time : 42 ms
Search save time : 37 ms
Search save time : 12 ms
Search save time : 10 ms
Search save time : 13 ms
Search save time : 21 ms
Search save time : 21 ms
Search save time : 11 ms
Search save time : 13 ms
Search save time : 11 ms
Search save time : 29 ms
Search save time : 24 ms
Search save time : 11 ms
Search save time : 15 ms
generate_matrices time :145 ms
Search save matrix time :41 ms
Search save matrix time :53 ms
Search save matrix time :38 ms
Search save matrix time :24 ms
Search save matrix time :36 ms
Search save matrix time :58 ms
Search save matrix time :21 ms
Search save matrix time :23 ms
generate_matrices time :108 ms
Search save matrix time :25 ms
Search save matrix time :9 ms
Search save matrix time :14 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save time : 16 ms
Search save time : 16 ms
Search save time : 10 ms
generate_matrices time :128 ms
Search save matrix time :29 ms
Search save matrix time :37 ms
Search save matrix time :47 ms
Search save matrix time :48 ms
Search save matrix time :33 ms
Search save matrix time :26 ms
Search save matrix time :44 ms
Search save matrix time :27 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 12 ms
Search save time : 10 ms
Search save time : 13 ms
Search save time : 10 ms
Search save time : 38 ms
Search save time : 12 ms
Search save time : 11 ms
Search save time : 41 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 15 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 27 ms
Search save time : 11 ms
generate_matrices time :39 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :11 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 14 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 12 ms
Search save time : 9 ms
Search save time : 9 ms
generate_matrices time :32 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :11 ms
generate_matrices time :61 ms
Search save matrix time :16 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :20 ms
Search save time : 23 ms
generate_matrices time :39 ms
Search save matrix time :10 ms
Search save matrix time :9 ms
Search save matrix time :11 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save matrix time :9 ms
Search save time : 18 ms
Search save time : 11 ms
Search save time : 11 ms
Search save time : 12 ms
Search save time : 22 ms
Search save time : 21 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 24 ms
Search save time : 23 ms
Search save time : 11 ms
Search save time : 23 ms
Search save time : 10 ms
Search save time : 9 ms
Search save time : 18 ms
Search save time : 23 ms
Search save time : 10 ms
Search save time : 11 ms
Search save time : 13 ms
Search save time : 25 ms
Search save time : 17 ms
Search save time : 12 ms
Search save time : 18 ms
Search save time : 11 ms
Search save time : 17 ms
Search save time : 11 ms
Search save time : 12 ms
Search save time : 14 ms
Search save time : 12 ms
Search save time : 11 ms
Search save time : 15 ms
Search save time : 13 ms
Search save time : 10 ms
Search save time : 16 ms
Search save time : 15 ms
Search save time : 16 ms
Search save time : 11 ms
Search save time : 21 ms
Search save time : 14 ms
Search save time : 12 ms
Search save time : 11 ms
Search save time : 12 ms
generate_matrices time :38 ms
Search save matrix time :10 ms
Search save matrix time :15 ms
Search save matrix time :15 ms
Search save matrix time :19 ms
Search save matrix time :20 ms
Search save matrix time :24 ms
Search save matrix time :34 ms
Search save matrix time :23 ms
